編碼,客家語,客語音標,華語詞義/例句,翻譯,備註,詞性1,詞性2,分類
1-1,此腔無此詞條,,,,,,,
1-2,拗着,au^ choo,"手部折到、扭傷。
例如：𠊎打籃球遐下手拗着，先生講愛打石膏。",我打籃球時手扭傷，醫生說要打石膏。,,動詞,,1人體與醫療
1-3,手婆,shiu^ pooˋ,"手掌。
例如：粄葉樹个葉，一皮差不多佮手婆平大。",黃槿樹的葉子，一片差不多手掌一般大。,,名詞,,1人體與醫療
1-4,擘嘴,baˊ zhe^,"打哈欠。
例如：歸夜無睡，做事直直擘嘴。",整夜沒睡，工作一直打哈欠。,,動詞,,1人體與醫療
1-5,跛腳,bai^ giooˊ,"跛腳、瘸腿。
例如：佢因為上擺出車禍，所以正會跛腳。",他因為上次出車禍，所以才會跛腳。,,動詞,,1人體與醫療
1-6,跛腳个,bai^ giooˊ eˇ,"跛子。
例如：跛腳个佮人走相躐，大概走毋會贏啦！",跛子和人比賽跑，大概跑不贏吧！,,名詞,,1人體與醫療
1-7,挷面,bangˇ mien^,"挽臉。
例如：佢講得人挷面過後，面會較金滑。",她說讓人挽臉過後，臉會比較光滑。,,動詞,,1人體與醫療
1-8,暴牙,bogˋ ngaˋ,"暴牙。
例如：佢有略略仔暴牙，牙齒毋係真齊整。",他有些微暴牙，牙齒不是很整齊。,,形容詞,,1人體與醫療
1-9,秘結,bi^ giedˊ,"便祕。
例如：水啉傷少驚會秘結哦！",水喝得太少可會便祕喔！,,名詞,,1人體與醫療
1-10,泌尿科,bi^ neeu kooˇ,"泌尿科。
例如：屙尿會疾，愛去得泌尿科先生䀴。",小便會痛，要去看泌尿科醫生。,,名詞,,1人體與醫療
1-11,斷腦筋,tonˇ nau^ gunˇ,"腦溢血。
例如：佢斷腦筋過後，無法度停動，歸日睡在眠床崠愛人飼飯。",他腦溢血過後，沒辦法動，整天躺在床上需要人餵飯。,,動詞,,1人體與醫療
1-12,發蛾,budˊ ngoˋ,"扁桃腺發炎。
例如：佢發蛾，喉嗹疾到連吞口涎都有困難。",他扁桃腺發炎，喉嚨痛得連吞口水都有困難。,,動詞,,1人體與醫療
1-13,生瘤,sangˇ liuˋ,"長腫瘤。
例如：阿秋个背脊骿生瘤，討去手術割莫。",阿秋的背上長腫瘤，要去手術割除。,,動詞,,1人體與醫療
1-14,生痱子,sangˇ bui^ zuˆ,"長痱子。
例如：熱天汗流較多，真輒會生痱子。",夏天汗流得比較多，很容易長痱子。,,動詞,,1人體與醫療
1-15,背痀痀,bue^ guˇ guˇ,"彎腰駝背貌。
例如：佢行路背痀痀，䀴起來變猶較矮。",他走路駝背，看起來變得更矮。,,形容詞,,1人體與醫療
1-16,龍骨,liungˋ gudˊ,"脊椎骨。
例如：佢龍骨生骨竻，無法度擐重。",他脊椎長骨刺，無法提重物。,,名詞,,1人體與醫療
1-17,背拱拱,bue^ giung^ giung^ ,"用來指稱背部中間隆起。
例如：佢行路背拱拱，䀴起來無麼个精神。",他走路拱著背，看起來沒什麼精神。,,形容詞,,1人體與醫療
1-18,尯着,guainn choo,"走路扭傷腳踝，狀況較嚴重。
例如：佢走忒緊，一下無注意，腳嗄尯着。",他跑太快，一時沒注意，竟扭傷腳踝。,,動詞,,1人體與醫療
1-19,磅血壓,bong fiedˊ abˊ,"量血壓。
例如：磅血壓膴身愛放鬆正磅會準。",量血壓身體要放鬆才量得準確。,,動詞,,1人體與醫療
1-20,撐腿,cang^ tui^/toi^,"因勞累而使腿部肌肉僵化。
例如：昨日行傷悿，晨早起來，猶撐腿撐腿。",昨天走太累，早晨起床，腿部肌肉還是很僵硬。,,動詞,,1人體與醫療
1-21,撐死,cang^ si^ ,"過飽而死。
例如：食忒多啊！強強會撐死。",吃太多了！幾乎要撐死。,,動詞,,1人體與醫療
1-22,撐壞,cang^ fai,"過飽而壞了身體。
例如：豬撐大，狗撐壞，人撐變精怪。（諺）
例如：莫食恁多，會撐壞。","豬吃太多會長大， 狗吃太多會弄壞身體， 人吃太多會因衣食無慮而作怪。
不要吃這麼多，身體會撐壞。",,動詞,,1人體與醫療
1-23,晟目,changˋ hmˊ ,"陽光太強，使眼昏花。
例如：西照日，駛車晟目真艱難。",太陽西晒，開車時陽光太強，使眼昏花很辛苦。,,動詞,,1人體與醫療
1-24,痔,chi,"痔瘡。
例如：屙屎出血，可能係生痔。",大便流血，可能是得痔瘡。,,名詞,,1人體與醫療
1-25,著病,choo piang,"得病。
例如：這種肺炎真會穢，世界各地真多人著病。",這種肺炎傳染力很強，世界各地很多人得病。,,動詞,,1人體與醫療
1-26,長命,chongˋ miang,"長壽。
例如：根據研究，妹子大討比囝子較長命。",根據研究，女性大多比男性長壽。,,形容詞,,1人體與醫療
1-27,長短腳,chongˋ don^ giooˊ,"長短腳。
例如：佢有長短腳，所以一隻鞋愛做較賁底个。",他有長短腳，所以一隻鞋要做成較為厚底的。,,形容詞,,1人體與醫療
1-28,臭羴,chiu^ hien^,"身體有異樣氣味，也可指動物身上發臭的味道。
例如：你昨暗無洗膴身，歸身真臭羴。
例如：遐隻狗驚真久無洗膴身啊，真臭羴。","你昨晚沒洗澡，身體體味很重。
那狗可能很久沒洗澡了，狗臭味很重。",,形容詞,,1人體與醫療
1-29,臭乳羴,chiu^ neenˇ hien^,"原指小嬰兒身上的乳臭味，現主要用於喻人未成熟、不明事理。
例如：嬰仔雖然有多少个臭乳羴，毋過真得人惜。
例如：佢頭那都猶臭乳羴，恁要緊个事情，你猶敢喊佢去？","小嬰兒雖然或多或少有乳臭味，但是很可愛。
他還乳臭未乾，這麼要緊的事情，你敢叫他去？",,形容詞,,1人體與醫療
1-30,臭尿薟,chiu^ neeu hiamˇ,"尿騷味。
例如：細子疶尿無換褲，恁臭尿薟。",小孩子尿出來沒有換褲，尿騷味很重。,,形容詞,,1人體與醫療
1-31,臭汗酸,chiu^ hon sonˇ,"汗酸臭味。
例如：打球了，歸身汗，一定愛洗膴身，正毋會歸身臭汗酸。",打完球，整身汗，一定要洗澡，才不會全身汗酸味。,,形容詞,,1人體與醫療
1-32,臭耳聾,chiu^ ngi^ lungˇ,"耳聾，耳朵重聽、聽力不佳。
例如：成過老儕人講，食番梨心會臭耳聾。
例如：遐個老儕人臭耳聾，聽毋會着，講事擱大聲胲。","以前老人家說，吃鳳梨心會耳聾。
那個老人家重聽，聽不見，說話又大嗓門。",,名詞,,1人體與醫療
1-33,嗽到會死,seu^ doo^ bbue si^ ,"咳得要命。
例如：佢得卵仁哽着，嗽到會死。",他被蛋黃噎到，咳得要命。,,動詞,,1人體與醫療
1-34,打噎,da^  e/edˊ,"打嗝。
例如：阿姊消化無好，食過物件即輒輒打噎。",姊姊消化不良，吃過東西就頻頻打嗝。,,動詞,,1人體與醫療
1-35,此腔無此詞條,,,,,,,
1-36,膽汁,dam^ zhibˊ,"膽汁。
例如：阿弟暈車，吐到連膽汁都吐出來。",弟弟暈車，吐得連膽汁都吐出來。,,名詞,,1人體與醫療
1-37,單目皮,danˇ hmˊ piˋ,"單眼皮。
例如：單目皮个人，目珠䀴起來較細粒。",單眼皮的人，眼睛看起來比較小。,,名詞,,1人體與醫療
1-38,吊頸,deeu^ giang^,"自縊、上吊。
例如：佢欠債，得人逼到強強討去吊頸啊。",他欠債，被人逼得差點要去上吊了。,,動詞,,1人體與醫療
1-39,斷臍,don^ ciˋ,"剪斷臍帶。
例如：斷臍毋好剪到貼，愛留一細截。",剪斷臍帶不可以剪到底，要保留一段長度。,,動詞,,1人體與醫療
